,loss,accuracy,precision,recall,mean_squared_error,mean_absolute_error,val_loss,val_accuracy,val_precision,val_recall,val_mean_squared_error,val_mean_absolute_error
0,0.6741369962692261,0.6916618347167969,0.8415672779083252,0.5720903277397156,0.09539709985256195,0.19498345255851746,0.4625836908817291,0.7939814925193787,0.8040379881858826,0.7835648059844971,0.07475127279758453,0.1270868480205536
1,0.32268404960632324,0.8818761110305786,0.8910236954689026,0.8592935800552368,0.044624488800764084,0.09209263324737549,0.16118088364601135,0.9340277910232544,0.9351100921630859,0.9340277910232544,0.0236948411911726,0.05327540263533592
2,0.24976366758346558,0.9035900235176086,0.9097058773040771,0.8954834938049316,0.03577449545264244,0.07053964585065842,0.5154656767845154,0.7418981194496155,0.7574316263198853,0.7372685074806213,0.08282722532749176,0.14010155200958252
3,0.15454897284507751,0.9363057613372803,0.9370467066764832,0.9351476430892944,0.023220952600240707,0.04696999490261078,0.10332930833101273,0.9583333134651184,0.9582850337028503,0.9571759104728699,0.015322636812925339,0.03394567593932152
4,0.1710006445646286,0.9287782311439514,0.931204617023468,0.9287782311439514,0.025243934243917465,0.04787253960967064,1.4938714504241943,0.6481481194496155,0.6481481194496155,0.6481481194496155,0.15335848927497864,0.17800027132034302
5,0.12925985455513,0.9475969672203064,0.9477806687355042,0.9458598494529724,0.0188043974339962,0.038948219269514084,0.1640932261943817,0.9305555820465088,0.9316338300704956,0.9305555820465088,0.025211919099092484,0.045428767800331116
6,0.15866729617118835,0.9357267022132874,0.9375725984573364,0.9348581433296204,0.02352297119796276,0.04547040909528732,0.19929800927639008,0.9120370149612427,0.9120370149612427,0.9120370149612427,0.031216522678732872,0.05137931555509567
7,0.11147187650203705,0.9536768794059753,0.9539397358894348,0.9533873796463013,0.016568591818213463,0.03384583815932274,0.0963563472032547,0.9548611044883728,0.9547563791275024,0.9525462985038757,0.015357011929154396,0.03156173229217529
8,0.08638014644384384,0.9667052626609802,0.9669852256774902,0.9667052626609802,0.012502700090408325,0.026704855263233185,0.05521687865257263,0.9826388955116272,0.9837586879730225,0.9814814925193787,0.007747896481305361,0.018767258152365685
9,0.10860896110534668,0.9623624682426453,0.9628985524177551,0.9617834687232971,0.014612643979489803,0.029490487650036812,0.1568165123462677,0.9398148059844971,0.9409038424491882,0.9398148059844971,0.02243959531188011,0.03816404566168785
10,0.11269859224557877,0.9588882327079773,0.9602321982383728,0.9577301740646362,0.01582350581884384,0.032562073320150375,0.05198786407709122,0.9814814925193787,0.9814814925193787,0.9814814925193787,0.007337274495512247,0.019515523687005043
11,0.09743707627058029,0.9614939093589783,0.9623188376426697,0.9612044095993042,0.013631402514874935,0.02706538327038288,0.05877276137471199,0.9803240895271301,0.9803240895271301,0.9803240895271301,0.007665934506803751,0.0209378469735384
12,0.11090678721666336,0.9643890857696533,0.9649275541305542,0.9638100862503052,0.014382454566657543,0.027641497552394867,0.28400442004203796,0.8946759104728699,0.9111374616622925,0.8900462985038757,0.03778022900223732,0.06346742063760757
13,0.07445882260799408,0.9739432334899902,0.9742028713226318,0.9730746746063232,0.010123183019459248,0.02387697622179985,0.15533329546451569,0.9398148059844971,0.94199538230896,0.9398148059844971,0.021458201110363007,0.03613949567079544
14,0.06199396029114723,0.9788650870323181,0.9794262647628784,0.978575587272644,0.008576982654631138,0.01761096529662609,0.040899451822042465,0.9930555820465088,0.9930555820465088,0.9930555820465088,0.004488108213990927,0.0162611473351717
15,0.05881790444254875,0.9782860279083252,0.9782797694206238,0.9779965281486511,0.008384401910007,0.01722695864737034,0.06718704104423523,0.9745370149612427,0.9745370149612427,0.9745370149612427,0.009922025725245476,0.017723049968481064
16,0.059076178818941116,0.9779965281486511,0.9782797694206238,0.9779965281486511,0.008478749543428421,0.017149627208709717,0.03559872880578041,0.9872685074806213,0.9872685074806213,0.9872685074806213,0.00483205821365118,0.011081229895353317
17,0.07792320847511292,0.9710480570793152,0.9713292717933655,0.9710480570793152,0.011012067086994648,0.020510714501142502,0.04431353509426117,0.9895833134651184,0.9895833134651184,0.9895833134651184,0.005590467713773251,0.016669288277626038
18,0.0459996722638607,0.986392617225647,0.9863846898078918,0.985813558101654,0.005802339408546686,0.01365853101015091,0.028830362483859062,0.9907407164573669,0.9907407164573669,0.9907407164573669,0.004056754056364298,0.009318352676928043
19,0.041067611426115036,0.9849449992179871,0.9849449992179871,0.9849449992179871,0.005787798203527927,0.012083297595381737,0.07817831635475159,0.9710648059844971,0.9721900224685669,0.9710648059844971,0.010868377052247524,0.018315812572836876
